STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,TAVG,TMAX,TMIN,TOBS,TSUN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT11,WT13,WT14,WT16,WT18,WT22
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/21/13,0.46,,,82,67,68,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/22/13,0.03,,,83,67,67,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/23/13,0.3,,,83,63,69,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/24/13,0,,,71,42,63,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/25/13,0,,,71,43,43,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/26/13,0,,,71,43,49,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/27/13,0,,,79,49,49,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/28/13,0,,,83,49,60,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/29/13,0,,,84,60,61,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/30/13,0,,,85,61,62,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,5/31/13,0,,,86,62,64,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/1/13,0,,,86,64,68,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/2/13,0.34,,,86,68,69,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/3/13,0.48,,,79,63,70,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/4/13,0,,,77,62,65,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/5/13,0,,,79,63,63,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/6/13,2.4,,,75,63,66,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/7/13,1.85,,,75,66,68,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/8/13,0,,,82,66,68,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/9/13,0.35,,,86,67,67,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/10/13,1.34,,,82,67,72,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/11/13,0,,,83,65,69,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/12/13,0.15,,,88,67,67,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/13/13,0,,,94,61,75,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/14/13,0,,,77,57,63,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/15/13,0,,,82,58,58,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/16/13,0,,,85,58,64,,,,,,,,,,,,,,
USC00313238,"GARNER, NC US",35.6708,-78.6608,100.6,6/17/13,0,,,84,64,70,,,,,,,,,,,,,,
